Time,A,B,C
0,100,0,2
4.35429,99,1,2
5.83593,98,2,2
5.93237,97,3,2
8.57734,96,4,2
10.2155,95,5,2
13.5748,94,6,2
22.6428,93,7,2
23.7918,92,8,2
39.4172,91,9,2
49.8085,90,10,2
64.4894,89,11,2
66.7768,88,12,2
66.9677,87,13,2
72.4442,86,14,2
85.2361,85,15,2
87.2028,84,16,2
88.4172,83,17,2
89.6171,82,18,2
102.859,81,19,2
109.296,80,20,2
113.685,79,21,2
130.789,78,22,2
134.257,77,23,2
140.473,76,24,2
142.785,75,25,2
145.643,74,26,2
161.859,73,27,2
172.176,72,28,2
185.185,71,29,2
192.801,70,30,2
196.219,69,31,2
225.355,68,32,2
231.135,67,33,2
241.137,66,34,2
248.204,65,35,2
262.452,64,36,2
267.806,63,37,2
268.703,62,38,2
273.822,61,39,2
286.707,60,40,2
287.003,59,41,2
289.754,58,42,2
294.054,57,43,2
304.973,56,44,2
313.718,55,45,2
329.402,54,46,2
341.585,53,47,2
344.338,52,48,2
360.321,51,49,2
366.384,50,50,2
384.167,49,51,2
385.286,48,52,2
387.775,47,53,2
391.185,46,54,2
392.319,45,55,2
405.57,44,56,2
413.307,43,57,2
444.645,42,58,2
460.097,41,59,2
465.408,40,60,2
471.817,39,61,2
475.69,38,62,2
483.091,37,63,2
494.049,36,64,2
506.879,35,65,2
518.487,34,66,2
520.811,33,67,2
529.75,32,68,2
538.975,31,69,2
539.692,30,70,2
544.372,29,71,2
554.765,28,72,2
560.096,27,73,2
588.328,26,74,2
619.466,25,75,2
633.302,24,76,2
663.519,23,77,2
666.428,22,78,2
710.613,21,79,2
713.479,20,80,2
753.167,19,81,2
799.972,18,82,2
828.083,17,83,2
905.149,16,84,2
919.779,15,85,2
1009.54,14,86,2
1072.44,13,87,2
1074.02,12,88,2
1180.41,11,89,2
1189.86,10,90,2
1222.91,9,91,2
1266.84,8,92,2
1364.94,7,93,2
1381.48,6,94,2
1616.77,5,95,2
1677.05,4,96,2
1738.37,3,97,2
1749.27,2,98,2
