Time,A,B,C
0,50,50,1
34.6942,49,51,1
58.6862,48,52,1
68.6062,47,53,1
90.9693,46,54,1
129.916,45,55,1
140.483,44,56,1
286.841,43,57,1
320.553,42,58,1
325.331,41,59,1
340.802,40,60,1
347.235,39,61,1
350.673,38,62,1
419.484,37,63,1
444.287,36,64,1
447.712,35,65,1
563.389,34,66,1
570.686,33,67,1
608.07,32,68,1
609.102,31,69,1
694.282,30,70,1
745.684,29,71,1
770.124,28,72,1
783.291,27,73,1
871.492,26,74,1
883.536,25,75,1
897.001,24,76,1
985.913,23,77,1
1160.07,22,78,1
1180.21,21,79,1
1288.73,20,80,1
1304.81,19,81,1
1314.03,18,82,1
1338.5,17,83,1
1339.09,16,84,1
1360.03,15,85,1
1374.72,14,86,1
1437.53,13,87,1
1460.37,12,88,1
1590.17,11,89,1
1621.16,10,90,1
1680.47,9,91,1
1685.34,8,92,1
1696.96,7,93,1
1900.21,6,94,1
1977,5,95,1
